a,b,x1,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142
-28.61870458,27.66081591,-16.39067498,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-50.25349823,78.27698541,-134.8782354,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
56.91071691,5.985664384,-25.85647123,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-73.70646944,9.745126775,-26.43979676,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
-33.57320441,45.58818767,-125.5364997,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-81.43420767,57.27710264,-78.1126944,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
13.59284347,0.519687304,17.15678919,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
-83.08190765,71.10507656,-32.24936309,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-25.93458399,38.52983326,-197.6317755,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-15.41892153,61.16818116,21.81839601,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
75.99669745,51.22414667,150.4549504,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-86.32887191,89.62874555,-88.56844146,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
-67.70063246,92.78291937,-70.30918869,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
-54.05051753,4.415830195,37.26216332,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
92.578431,17.54809121,-44.70671642,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
13.63420644,79.75309865,127.2234772,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-38.41656555,-92.08083863,31.53231028,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-58.67691322,-62.2065683,171.5001653,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
