a,b,x1,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142,label
-28.61870458,27.66081591,-16.39067498,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,3.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
-50.25349823,78.27698541,-134.8782354,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,3.5,1.5,3.5,1.5,3.5,1.5,1
56.91071691,5.985664384,-25.85647123,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,3.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
-73.70646944,9.745126775,-26.43979676,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,1.5,3.5,0.5,0.5,0.5,0.5,1
-33.57320441,45.58818767,-125.5364997,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,3.5,1.5,3.5,1.5,3.5,1.5,1
-81.43420767,57.27710264,-78.1126944,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,1.5,3.5,0.5,0.5,0.5,0.5,1
13.59284347,0.519687304,17.15678919,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,1.5,3.5,0.5,0.5,0.5,0.5,1
-83.08190765,71.10507656,-32.24936309,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,3.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
-25.93458399,38.52983326,-197.6317755,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,3.5,1.5,3.5,1.5,3.5,1.5,1
-15.41892153,61.16818116,21.81839601,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,3.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
75.99669745,51.22414667,150.4549504,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,3.5,1.5,3.5,1.5,3.5,1.5,1
-86.32887191,89.62874555,-88.56844146,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,1.5,3.5,0.5,0.5,0.5,0.5,1
-67.70063246,92.78291937,-70.30918869,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,1.5,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,1.5,3.5,0.5,0.5,0.5,0.5,1
-54.05051753,4.415830195,37.26216332,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,3.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
92.578431,17.54809121,-44.70671642,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,3.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
13.63420644,79.75309865,127.2234772,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,3.5,1.5,3.5,1.5,3.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
-38.41656555,-92.08083863,31.53231028,1.5,2.5,1.5,2.5,0.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
-58.67691322,-62.2065683,171.5001653,1.5,3.5,1.5,3.5,0.5,0.5,1.5,3.5,1.5,3.5,3.5,1.5,3.5,1.5,3.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
