a,b,x1,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142,label
0.912452698,39.7028656,-93.77933502,1,2,1,2,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,
-6.185928345,70.57720947,-164.706955,1,3,1,4,0,0,1,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,
-59.44491577,80.68580627,50.6762085,1,3,1,4,0,0,1,3,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,
-22.11782074,17.5791626,-190.1453857,1,4,1,5,0,0,0,5,3,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,
-58.59079361,-67.26354218,138.5229492,1,1,0,1,0,0,1,1,2,1,2,0,1,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
-39.8307724,14.98652649,79.35675049,2,4,2,4,0,0,1,3,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-84.27609253,22.88228607,-99.7875824,2,3,1,4,0,0,1,4,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,1,0,
98.85397339,-86.5559082,104.191864,1,6,2,4,0,1,1,3,2,3,0,1,0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,
51.0717926,25.22421265,34.70782471,1,2,0,5,0,0,1,2,1,3,3,3,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,
-72.61827087,-40.20497894,-192.0199738,1,2,1,4,0,0,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,2,1,
19.43421173,-5.214263916,-193.0521393,2,3,2,4,0,0,1,4,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,
