,,,b295,b296,b297,b298,b299,b300,b301,b302,b303,b304,b305,b306,b307,b308,b309,b310,b311,b312,b313,b314,b315,b316,b317,b318,b319,b320,b321,b322,b323,b324,b325,b326,b327,b328,b329,b330,b331,b332,b333,b334,b335,b336,b337,b338,b339,b340,b341,b342,b343,b344,b345,b346,b347,b348,b349,b350,b351,b352,b353,b354,b355,b356,b357,b358,b359,b360,b361,b362,b363,b364,b365,b366,b367,b368,b369,b370,b371,b372,b373,b374,b375,b376,b377,b378,b379,b380,b381,b382,b383,b384,b385,b386,b387,b388,b389,b390
11.99809265,59.30233765,175.504303,0,3,0,0,0,0,0,0,2,1,0,2,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,2,2,1,0,2,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
-93.4889679,69.76499939,195.4693909,1,2,0,0,1,1,0,0,3,2,2,2,2,5,3,1,4,2,3,1,0,0,1,3,0,0,0,0,1,2,1,2,1,0,2,0,1,0,0,0,1,1,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,0,5,1,0,1,1,2,1,2,1,1,4,2
46.53056335,78.33312988,-119.9133759,1,2,0,0,0,2,0,0,3,1,2,2,1,0,1,3,0,0,0,0,0,0,0,5,0,0,0,0,3,1,2,2,1,1,4,1,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,6,1,1,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96.81420898,45.35150146,-178.1843109,1,2,0,0,1,1,0,0,2,1,2,1,0,0,1,2,0,0,0,0,0,1,1,3,0,1,0,1,1,2,1,1,1,0,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,2,1,4,1,1,1,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.80812073,-25.39007568,-49.69445801,1,2,1,0,0,0,1,0,3,1,1,3,1,1,2,1,1,1,2,0,0,0,2,3,0,0,0,0,0,3,1,3,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2,3,7,3,6,8,2,1,1,3,7,3,1,1,1,1,1,2,1,4,3,2
-65.81230927,92.12927246,128.7912292,2,2,1,0,1,0,0,0,3,1,1,2,2,2,3,2,2,2,3,1,0,0,2,4,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,2,2,0,2,0,1,0,2,1,0,0,0,8,3,2,3,3,4,1,6,3,4,8,5
89.70529175,94.24650574,-145.4904633,1,2,0,0,0,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
-97.04470825,-60.87180328,55.85704041,1,2,0,0,1,2,0,0,2,1,2,1,1,1,2,1,2,1,1,0,0,0,1,1,0,0,0,0,0,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65.24975586,-70.8195343,66.15945435,0,2,0,0,0,0,0,0,2,1,0,2,0,0,1,1,0,0,1,0,1,3,2,1,2,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,3,3,2,2,3,0,0,3,0,0,0,0,4,1,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,1
-41.56240082,-12.35845184,-126.5667801,1,2,0,0,0,0,0,0,3,1,1,2,0,0,1,2,0,0,0,0,0,1,1,2,0,0,0,0,1,3,2,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
