,,,b391,b392,b393,b394,b395,b396,b397,b398,b399,b400,b401,b402,b403,b404,b405,b406,b407,b408,b409,b410,b411,b412,b413,b414,b415,b416,b417,b418,b419,b420,b421,b422,b423,b424,b425,b426,b427,b428,b429,b430,b431,b432,b433,b434,b435,b436,b437,b438,b439,b440,b441,b442,b443,b444,b445,b446,b447,b448,,,,,,,,,b457
61.16902161,-93.00565338,-99.55308533,2,1,2,1,1,2,0,0,1,2,0,0,2,0,0,0,2,2,0,2,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,1,2,0,2,1,1,1,1,0,0,1,1,2,,,,,,,,,
28.50366211,-93.13968658,-51.3941803,2,0,4,3,1,5,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,3,1,0,2,2,0,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,2,1,0,0,0,0,1,1,,,,,,,,,
-37.72038269,-18.98417664,82.85507202,1,0,2,2,2,2,0,0,3,2,0,0,2,1,1,1,2,2,1,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,4,2,0,3,0,2,1,1,1,0,0,0,0,1,1,,,,,,,,,
4.642417908,-82.73931885,-144.9017487,3,1,2,1,1,2,0,0,1,2,0,0,1,1,0,0,2,1,1,1,1,2,0,0,2,2,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,4,2,3,1,1,0,0,0,0,0,0,0,,,,,,,,,
98.69064331,-87.44758606,153.8948975,2,1,3,1,0,2,0,0,1,2,1,0,1,1,1,2,3,1,1,1,1,3,0,0,1,2,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1,1,2,1,2,2,0,0,0,0,,,,,,,,,
43.89857483,69.70405579,101.1061707,1,1,2,2,1,2,0,0,3,1,1,0,3,1,0,0,1,1,0,0,2,2,0,0,1,2,0,0,2,1,0,0,0,1,0,1,1,3,1,0,1,0,0,1,2,2,0,0,0,0,1,3,0,0,1,0,1,1,,,,,,,,,
-17.57191467,-48.50346375,-33.08164978,2,1,1,0,1,1,0,0,1,2,0,0,2,1,0,1,1,0,1,0,1,2,0,0,1,2,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,1,1,1,0,0,1,2,1,,,,,,,,,
-85.00743103,-85.47827911,-63.07058716,3,1,2,0,2,2,0,0,0,3,0,0,2,0,0,0,1,1,1,1,1,2,0,0,1,2,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,2,1,1,1,2,0,2,0,2,0,0,1,1,1,,,,,,,,,
44.20002747,-86.20121765,28.26490784,3,1,2,0,1,2,0,1,1,3,0,0,2,1,1,3,1,1,1,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,2,2,1,1,0,0,1,0,,,,,,,,,
-29.01400757,66.12748718,-171.8668518,2,1,1,1,0,2,0,0,0,2,0,0,1,1,0,0,1,1,1,2,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0,0,1,3,0,0,0,1,1,1,2,2,1,1,2,1,0,1,1,0,2,2,1,1,,,,,,,,,
-9.159912109,92.03488159,169.5232544,1,1,3,1,3,3,0,0,1,2,0,0,2,2,1,1,1,2,0,0,0,2,1,0,1,4,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,2,0,0,0,0,1,3,0,0,0,0,1,0,,,,,,,,,
9.086402893,-69.99679565,-104.1973267,2,0,2,1,2,2,0,0,2,2,0,0,3,1,1,1,1,1,1,0,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,3,0,0,0,0,2,2,0,0,0,0,1,1,,,,,,,,,
47.8959198,-99.02658081,141.6081543,2,1,2,2,1,2,0,0,2,2,0,0,2,1,1,0,1,2,1,1,1,3,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,5,2,0,4,1,4,1,2,1,1,2,0,1,0,3,,,,,,,,,
82.18838501,-75.43603516,-66.02931213,2,1,1,0,1,2,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,3,1,1,1,1,1,1,0,0,0,0,1,0,,,,,,,,,
-89.82434845,-98.62702179,-89.44161224,2,1,2,1,2,2,0,0,1,2,0,0,3,1,1,3,1,0,4,1,1,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,2,0,2,0,3,3,1,2,,,,,,,,,
-77.35997009,-61.70438004,95.45303345,2,1,1,1,2,1,1,0,1,1,0,1,2,2,0,0,1,2,1,1,1,3,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,3,1,0,1,0,3,1,1,2,0,0,0,1,,,,,,,,,
