a,b,x,b449,b450,b451,b452,b453,b454,b455,b456,b457,b458,b459,b460,b461,b462,b463,b464,b465,b466,b467,b468,b469,b470,b471,b472,b473,b474,b475,b476,b477,b478,b479,b480,b481,b482,b483,b484,b485,b486,b487,b488,b489,b490,label
-19.37867737,-87.02881622,192.3972168,1,1,2,5,1,1,0,2,2,1,1,0,1,0,1,0,2,2,1,4,2,3,1,3,0,0,1,0,0,0,2,1,1,2,1,1,0,2,0,1,3,1,
-85.68885803,97.07977295,-54.210495,1,4,1,1,1,4,1,1,0,3,0,0,0,0,5,0,1,2,1,2,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,0,1,0,
29.4466095,76.5018158,41.33047485,1,2,1,1,1,3,1,2,1,3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
88.04150391,-20.72627258,-112.7644501,1,2,2,5,3,2,0,2,2,0,1,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
-33.06497955,-16.21062469,0.477264404,1,0,1,3,3,4,1,4,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,
95.01507568,-25.96537781,-0.808792114,0,2,2,2,4,4,2,5,2,1,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
-33.86920166,-45.8723259,-186.2360535,1,2,0,2,1,2,1,1,0,2,1,0,0,0,2,1,0,0,0,1,0,1,2,3,0,0,0,0,0,0,1,3,0,0,2,1,0,0,1,0,0,0,
72.9800415,-19.51709747,63.47149658,2,3,2,2,1,3,1,3,2,2,3,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-85.470047,9.211753845,113.5159912,2,3,1,2,0,0,1,2,2,1,1,0,2,0,0,0,1,4,0,3,0,4,1,4,0,0,0,0,0,0,2,1,1,2,3,0,2,1,3,2,2,1,
49.71911621,12.17858887,50.0218811,1,2,1,2,1,2,2,2,1,2,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,2,1,2,1,1,3,0,1,
75.25634766,-33.50293732,-86.47634888,1,1,1,2,2,1,1,3,1,1,0,0,0,0,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,
56.46392822,83.25193787,-67.30003357,1,2,1,2,2,4,1,3,1,2,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,
